Código Seção	Descrição Seção	Código Subclasse	Descrição Subclasse
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	122900	Cultivo de flores e plantas ornamentais
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	131800	Cultivo de laranja
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	132600	Cultivo de uva
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	133401	Cultivo de açaí
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	133402	Cultivo de banana
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	133403	Cultivo de caju
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	133404	Cultivo de cítricos, exceto laranja
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	133405	Cultivo de coco-da-baía
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	133406	Cultivo de guaraná
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	133407	Cultivo de maçã
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	133408	Cultivo de mamão
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	133409	Cultivo de maracujá
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	133410	Cultivo de manga
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	133411	Cultivo de pêssego
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	133499	Cultivo de frutas de lavoura permanente não especificadas anteriormente
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	134200	Cultivo de café
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	135100	Cultivo de cacau
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	139301	Cultivo de chá-da-índia
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	139302	Cultivo de erva-mate
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	139303	Cultivo de pimenta-do-reino
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	139304	Cultivo de plantas para condimento, exceto pimenta-do-reino
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	139305	Cultivo de dendê
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	139306	Cultivo de seringueira
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	139399	Cultivo de outras plantas de lavoura permanente não especificadas anteriormente
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	141501	Produção de sementes certificadas, exceto de forrageiras para pasto
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	141502	Produção de sementes certificadas de forrageiras para formação de pasto
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	142300	Produção de mudas e outras formas de propagação vegetal, certificadas
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	151201	Criação de bovinos para corte
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	151202	Criação de bovinos para leite
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	151203	Criação de bovinos, exceto para corte e leite
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	152101	Criação de bufalinos
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	152102	Criação de eqüinos
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	152103	Criação de asininos e muares
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	153901	Criação de caprinos
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	153902	Criação de ovinos, inclusive para produção de lã
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	154700	Criação de suínos
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	155501	Criação de frangos para corte
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	155502	Produção de pintos de um dia
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	155503	Criação de outros galináceos, exceto para corte
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	155504	Criação de aves, exceto galináceos
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	155505	Produção de ovos
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	159801	Apicultura
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	159802	Criação de animais de estimação
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	159803	Criação de escargô
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	159804	Criação de bicho-da-seda
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	159899	Criação de outros animais não especificados anteriormente
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	161001	Serviço de pulverização e controle de pragas agrícolas
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	161002	Serviço de poda de árvores para lavouras
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	161003	Serviço de preparação de terreno, cultivo e colheita
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	161099	Atividades de apoio à agricultura não especificadas anteriormente
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	162801	Serviço de inseminação artificial em animais
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	162802	Serviço de tosquiamento de ovinos
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	162803	Serviço de manejo de animais
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	162899	Atividades de apoio à pecuária não especificadas anteriormente
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	163600	Atividades de pós-colheita
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	170900	Caça e serviços relacionados
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	210101	Cultivo de eucalipto
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	210102	Cultivo de acácia-negra
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	210103	Cultivo de pinus
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	210104	Cultivo de teca
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	210105	Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	210106	Cultivo de mudas em viveiros florestais
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	210107	Extração de madeira em florestas plantadas
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	210108	Produção de carvão vegetal - florestas plantadas
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	210109	Produção de casca de acácia-negra - florestas plantadas
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	210199	Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	220901	Extração de madeira em florestas nativas
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	220902	Produção de carvão vegetal - florestas nativas
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	220903	Coleta de castanha-do-pará em florestas nativas
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	220904	Coleta de látex em florestas nativas
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	220905	Coleta de palmito em florestas nativas
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	220906	Conservação de florestas nativas
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	220999	Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	230600	Atividades de apoio à produção florestal
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	311601	Pesca de peixes em água salgada
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	311602	Pesca de crustáceos e moluscos em água salgada
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	311603	Coleta de outros produtos marinhos
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	311604	Atividades de apoio à pesca em água salgada
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	312401	Pesca de peixes em água doce
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	312402	Pesca de crustáceos e moluscos em água doce
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	312403	Coleta de outros produtos aquáticos de água doce
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	312404	Atividades de apoio à pesca em água doce
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	321301	Criação de peixes em água salgada e salobra
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	321302	Criação de camarões em água salgada e salobra
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	321303	Criação de ostras e mexilhões em água salgada e salobra
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	321304	Criação de peixes ornamentais em água salgada e salobra
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	321305	Atividades de apoio à aqüicultura em água salgada e salobra
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	321399	Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	322101	Criação de peixes em água doce
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	322102	Criação de camarões em água doce
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	322103	Criação de ostras e mexilhões em água doce
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	322104	Criação de peixes ornamentais em água doce
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	322105	Ranicultura
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	322106	Criação de jacaré
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	322107	Atividades de apoio à aqüicultura em água doce
A	AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA	322199	Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente
B	INDÚSTRIAS EXTRATIVAS	500301	Extração de carvão mineral
B	INDÚSTRIAS EXTRATIVAS	500302	Beneficiamento de carvão mineral
B	INDÚSTRIAS EXTRATIVAS	600001	Extração de petróleo e gás natural
B	INDÚSTRIAS EXTRATIVAS	600002	Extração e beneficiamento de xisto
B	INDÚSTRIAS EXTRATIVAS	600003	Extração e beneficiamento de areias betuminosas
B	INDÚSTRIAS EXTRATIVAS	710301	Extração de minério de ferro
B	INDÚSTRIAS EXTRATIVAS	710302	Pelotização, sinterização e outros beneficiamentos de minério de ferro
B	INDÚSTRIAS EXTRATIVAS	721901	Extração de minério de alumínio
B	INDÚSTRIAS EXTRATIVAS	721902	Beneficiamento de minério de alumínio
B	INDÚSTRIAS EXTRATIVAS	722701	Extração de minério de estanho
B	INDÚSTRIAS EXTRATIVAS	722702	Beneficiamento de minério de estanho
B	INDÚSTRIAS EXTRATIVAS	723501	Extração de minério de manganês
B	INDÚSTRIAS EXTRATIVAS	723502	Beneficiamento de minério de manganês
B	INDÚSTRIAS EXTRATIVAS	724301	Extração de minério de metais preciosos
B	INDÚSTRIAS EXTRATIVAS	724302	Beneficiamento de minério de metais preciosos
B	INDÚSTRIAS EXTRATIVAS	725100	Extração de minerais radioativos
B	INDÚSTRIAS EXTRATIVAS	729401	Extração de minérios de nióbio e titânio
B	INDÚSTRIAS EXTRATIVAS	729402	Extração de minério de tungstênio
B	INDÚSTRIAS EXTRATIVAS	729403	Extração de minério de níquel
B	INDÚSTRIAS EXTRATIVAS	729404	Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente
B	INDÚSTRIAS EXTRATIVAS	729405	Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente
B	INDÚSTRIAS EXTRATIVAS	810001	Extração de ardósia e beneficiamento associado
B	INDÚSTRIAS EXTRATIVAS	810002	Extração de granito e beneficiamento associado
B	INDÚSTRIAS EXTRATIVAS	810003	Extração de mármore e beneficiamento associado
B	INDÚSTRIAS EXTRATIVAS	810004	Extração de calcário e dolomita e beneficiamento associado
B	INDÚSTRIAS EXTRATIVAS	810005	Extração de gesso e caulim
B	INDÚSTRIAS EXTRATIVAS	810006	Extração de areia, cascalho ou pedregulho e beneficiamento associado
B	INDÚSTRIAS EXTRATIVAS	810007	Extração de argila e beneficiamento associado
B	INDÚSTRIAS EXTRATIVAS	810008	Extração de saibro e beneficiamento associado
B	INDÚSTRIAS EXTRATIVAS	810009	Extração de basalto e beneficiamento associado
B	INDÚSTRIAS EXTRATIVAS	810010	Beneficiamento de gesso e caulim associado à extração
B	INDÚSTRIAS EXTRATIVAS	810099	Extração e britamento de pedras e outros materiais para construção e beneficiamento associado
B	INDÚSTRIAS EXTRATIVAS	891600	Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos
B	INDÚSTRIAS EXTRATIVAS	892401	Extração de sal marinho
B	INDÚSTRIAS EXTRATIVAS	892402	Extração de sal-gema
B	INDÚSTRIAS EXTRATIVAS	892403	Refino e outros tratamentos do sal
B	INDÚSTRIAS EXTRATIVAS	893200	Extração de gemas (pedras preciosas e semipreciosas)
B	INDÚSTRIAS EXTRATIVAS	899101	Extração de grafita
B	INDÚSTRIAS EXTRATIVAS	899102	Extração de quartzo
B	INDÚSTRIAS EXTRATIVAS	899103	Extração de amianto
B	INDÚSTRIAS EXTRATIVAS	899199	Extração de outros minerais não-metálicos não especificados anteriormente
B	INDÚSTRIAS EXTRATIVAS	910600	Atividades de apoio à extração de petróleo e gás natural
B	INDÚSTRIAS EXTRATIVAS	990401	Atividades de apoio à extração de minério de ferro
B	INDÚSTRIAS EXTRATIVAS	990402	Atividades de apoio à extração de minerais metálicos não-ferrosos
B	INDÚSTRIAS EXTRATIVAS	990403	Atividades de apoio à extração de minerais não-metálicos
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1011201	Frigorífico - abate de bovinos
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1011202	Frigorífico - abate de eqüinos
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1011203	Frigorífico - abate de ovinos e caprinos
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1011204	Frigorífico - abate de bufalinos
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1011205	Matadouro - abate de reses sob contrato, exceto abate de suínos
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1012101	Abate de aves
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1012102	Abate de pequenos animais
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1012103	Frigorífico - abate de suínos
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1012104	Matadouro - abate de suínos sob contrato
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1013901	Fabricação de produtos de carne
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1013902	Preparação de subprodutos do abate
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1020101	Preservação de peixes, crustáceos e moluscos
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1020102	Fabricação de conservas de peixes, crustáceos e moluscos
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1031700	Fabricação de conservas de frutas
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1032501	Fabricação de conservas de palmito
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1032599	Fabricação de conservas de legumes e outros vegetais, exceto palmito
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1033301	Fabricação de sucos concentrados de frutas, hortaliças e legumes
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1033302	Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1041400	Fabricação de óleos vegetais em bruto, exceto óleo de milho
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1042200	Fabricação de óleos vegetais refinados, exceto óleo de milho
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1043100	Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1051100	Preparação do leite
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1052000	Fabricação de laticínios
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1053800	Fabricação de sorvetes e outros gelados comestíveis
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1061901	Beneficiamento de arroz
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1061902	Fabricação de produtos do arroz
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1062700	Moagem de trigo e fabricação de derivados
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1063500	Fabricação de farinha de mandioca e derivados
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1064300	Fabricação de farinha de milho e derivados, exceto óleos de milho
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1065101	Fabricação de amidos e féculas de vegetais
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1065102	Fabricação de óleo de milho em bruto
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1065103	Fabricação de óleo de milho refinado
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1066000	Fabricação de alimentos para animais
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1069400	Moagem e fabricação de produtos de origem vegetal não especificados anteriormente
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1071600	Fabricação de açúcar em bruto
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1072401	Fabricação de açúcar de cana refinado
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1072402	Fabricação de açúcar de cereais (dextrose) e de beterraba
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1081301	Beneficiamento de café
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1081302	Torrefação e moagem de café
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1082100	Fabricação de produtos à base de café
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1091100	Fabricação de produtos de panificação
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1092900	Fabricação de biscoitos e bolachas
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1093701	Fabricação de produtos derivados do cacau e de chocolates
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1093702	Fabricação de frutas cristalizadas, balas e semelhantes
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1094500	Fabricação de massas alimentícias
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1095300	Fabricação de especiarias, molhos, temperos e condimentos
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1096100	Fabricação de alimentos e pratos prontos
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1099601	Fabricação de vinagres
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1099602	Fabricação de pós alimentícios
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1099603	Fabricação de fermentos e leveduras
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1099604	Fabricação de gelo comum
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1099605	Fabricação de produtos para infusão (chá, mate, etc.)
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1099606	Fabricação de adoçantes naturais e artificiais
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1099699	Fabricação de outros produtos alimentícios não especificados anteriormente
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1111901	Fabricação de aguardente de cana-de-açúcar
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1111902	Fabricação de outras aguardentes e bebidas destiladas
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1112700	Fabricação de vinho
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1113501	Fabricação de malte, inclusive malte uísque
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1113502	Fabricação de cervejas e chopes
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1121600	Fabricação de águas envasadas
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1122401	Fabricação de refrigerantes
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1122402	Fabricação de chá mate e outros chás prontos para consumo
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1122403	Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1122499	Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1210700	Processamento industrial do fumo
C	INDÚSTRIAS DE TRANSFORMAÇÃO	1220401	Fabricação de cigarros
